record_id,title,year,study_type,evidence_strength,claim_category,risk_flags,maps_to_market,citation_status,doi,pmid
3c2c6fb0-1faa-487b-a1a2-61ff319202a3,&lt;i&gt;Astragalus&lt;/i&gt; and &lt;i&gt;Cordyceps&lt;/i&gt; Derivatives in the Treatment of Aging-Related Chronic Diseases and Neurodegenerative Disorders.,2026,animal,C_animal,immune,disease_language|preclinical_only,research_only,needs_legal_review,10.3390/ijms27125273,42353002
52008802-8218-4c78-8280-667c1ea66b02,&lt;i&gt;Bifidobacterium animalis&lt;/i&gt; ssp. &lt;i&gt;lactis&lt;/i&gt; 420 and &lt;i&gt;Cordyceps militaris&lt;/i&gt; Synergistically Modulate the Gut Microbiota by Increasing Mucin 2 Production.,2026,animal,C_animal,metabolic,disease_language|preclinical_only,research_only,needs_legal_review,10.3390/nu18081195,42075007
ab9589be-69e5-4e62-8077-b84d68b62cad,"<i>Cordyceps militaris</i> Enhances Wound Repair Through Regulation of HIF-1α, TGF-β1, and SIRT1/Nrf2/HO-1 Signaling in Diabetic Skin.",2026,animal,C_animal,antioxidant,disease_language|preclinical_only,research_only,needs_legal_review,10.3390/life16010117,41598272
60fc4447-a462-4f1e-b4fb-1fb54ae4becb,A Potent Fibrinolytic Enzyme Alp1 from &lt;i&gt;Cordyceps militaris&lt;/i&gt;: From Sequence-Function Characterization to in Vivo Antithrombotic Application.,2026,animal,C_animal,other,preclinical_only,research_only,candidate,10.1021/acs.jafc.6c02229,41841572
21d24ef6-61e0-43bc-9b81-0a816b35f6fd,Acute Cordyceps militaris supplementation and elevated resting oxygen uptake with faster reaction times: A randomized crossover trial.,2026,rct,A_human_RCT,exercise_performance,,research_only,candidate,10.1371/journal.pone.0351725,42455764
3c004761-c6eb-41e2-abea-5efdb0948c60,An Acetyl-CoA-Gated Metabolic Checkpoint Links Precursor Supply to Cordycepin Biosynthesis in &lt;i&gt;Cordyceps militaris&lt;/i&gt;.,2026,animal,C_animal,metabolic,preclinical_only,KR_liquor_context,approved,10.3390/cimb48040370,42042030
7abff759-52d0-4b88-930c-e1e1c41bd557,"An Immunomodulatory Mushroom, Cordyceps militaris, and Its Constituents: A Review of In Vitro/In Vivo Studies and Clinical Trials.",2026,animal,C_animal,immune,disease_language|preclinical_only|species_mismatch,research_only,needs_legal_review,10.1002/ptr.70144,41432716
d782b5e1-69e6-4601-a6b3-13c87352860b,Anti-Inflammatory Mechanisms and Translational Relevance of &lt;i&gt;Cordyceps sinensis&lt;/i&gt; and Its Bioactive Constituents.,2026,animal,C_animal,anti_inflammatory,disease_language|preclinical_only|species_mismatch,research_only,needs_legal_review,10.2147/jir.s582921,41767899
c5f05a84-e1b1-488f-9994-41f38c48ab36,Anti-Inflammatory Mechanisms and Translational Relevance of Cordyceps sinensis and Its Bioactive Constituents.,2026,animal,C_animal,anti_inflammatory,disease_language|preclinical_only,research_only,needs_legal_review,10.1038/s41586-024-07791-5,41767899
41b7415d-4222-4829-9b96-89c618c12e12,"Anti-cancer effects of cordyceps sinensis, C. militaris and C. cicadae and their mechanisms of action.",2026,animal,C_animal,other,disease_language|preclinical_only,research_only,needs_legal_review,10.1080/10286020.2025.2497282,40372357
0d92bad9-bf26-4949-9113-3164771dde3e,Antithrombotic Effects of Cordycepin-Enriched WIB-801CE via Inhibition of Thromboxane A&lt;sub&gt;2&lt;/sub&gt;-Induced αIIbβ&lt;sub&gt;3&lt;/sub&gt; Activation and Thrombin-Mediated Fibrin Clot Retraction.,2026,animal,C_animal,antioxidant,disease_language|preclinical_only,research_only,needs_legal_review,10.3390/ijms27052254,41828477
